"nu","code","Latitude","Longitude","dewtemp_20150101","dewtemp_20150102","dewtemp_20150103","dewtemp_20150104","dewtemp_20150105","dewtemp_20150106"
1,12054,31.26178,121.49687,-5.49372901916502,-5.49372901916502,-5.49372901916502,-5.49372901916502,-5.49372901916502,-5.49372901916502
2,12109,31.18184,121.50154,-6.17903175354002,-6.17903175354002,-6.17903175354002,-6.17903175354002,-6.17903175354002,-6.17903175354002
3,12726,31.2327584,121.5269643,-5.28254737854002,-5.28254737854002,-5.28254737854002,-5.28254737854002,-5.28254737854002,-5.28254737854002
4,13007,31.20591,121.69423,-5.5244093577067,-5.5244093577067,-5.5244093577067,-5.5244093577067,-5.5244093577067,-5.5244093577067
5,13014,31.310832,121.453734,-5.23176612854002,-5.23176612854002,-5.23176612854002,-5.23176612854002,-5.23176612854002,-5.23176612854002
6,13026,31.21351,121.36572,-6.31135597229002,-6.31135597229002,-6.31135597229002,-6.31135597229002,-6.31135597229002,-6.31135597229002
7,13058,31.283737,121.480399,-5.49372901916502,-5.49372901916502,-5.49372901916502,-5.49372901916502,-5.49372901916502,-5.49372901916502
8,13286,31.15479,121.39192,-6.6723585764567,-6.6723585764567,-6.6723585764567,-6.6723585764567,-6.6723585764567,-6.6723585764567
9,13367,31.12433,121.63849,-6.38655128479002,-6.38655128479002,-6.38655128479002,-6.38655128479002,-6.38655128479002,-6.38655128479002
10,13491,31.2076539,121.4687937,-5.49372901916502,-5.49372901916502,-5.49372901916502,-5.49372901916502,-5.49372901916502,-5.49372901916502
11,13956,31.1824964,121.533481,-6.17903175354002,-6.17903175354002,-6.17903175354002,-6.17903175354002,-6.17903175354002,-6.17903175354002
12,13969,31.1053,121.25056,-7.1689406077067,-7.1689406077067,-7.1689406077067,-7.1689406077067,-7.1689406077067,-7.1689406077067
13,13995,31.103578,121.355759,-6.6723585764567,-6.6723585764567,-6.6723585764567,-6.6723585764567,-6.6723585764567,-6.6723585764567
14,14031,31.01155,121.41149,-7.05940284729002,-7.05940284729002,-7.05940284729002,-7.05940284729002,-7.05940284729002,-7.05940284729002
15,14044,31.118292,121.446094,-6.26212094624833,-6.26212094624833,-6.26212094624833,-6.26212094624833,-6.26212094624833,-6.26212094624833
16,14048,31.13959,121.58382,-6.17903175354002,-6.17903175354002,-6.17903175354002,-6.17903175354002,-6.17903175354002,-6.17903175354002
17,14061,31.15328,121.64286,-6.38655128479002,-6.38655128479002,-6.38655128479002,-6.38655128479002,-6.38655128479002,-6.38655128479002
18,14105,31.27715,121.58369,-5.28254737854002,-5.28254737854002,-5.28254737854002,-5.28254737854002,-5.28254737854002,-5.28254737854002
19,14109,31.228276,121.480101,-5.49372901916502,-5.49372901916502,-5.49372901916502,-5.49372901916502,-5.49372901916502,-5.49372901916502
20,14111,31.19821,121.61232,-6.38655128479002,-6.38655128479002,-6.38655128479002,-6.38655128479002,-6.38655128479002,-6.38655128479002
21,14154,31.29129,121.55261,-5.28254737854002,-5.28254737854002,-5.28254737854002,-5.28254737854002,-5.28254737854002,-5.28254737854002
22,14162,31.13216,121.33175,-6.6723585764567,-6.6723585764567,-6.6723585764567,-6.6723585764567,-6.6723585764567,-6.6723585764567
23,14173,31.036012,120.922188,-4.9497023264567,-4.9497023264567,-4.9497023264567,-4.9497023264567,-4.9497023264567,-4.9497023264567
24,14225,31.19967,121.64808,-6.38655128479002,-6.38655128479002,-6.38655128479002,-6.38655128479002,-6.38655128479002,-6.38655128479002
25,14237,31.285538,121.539748,-5.28254737854002,-5.28254737854002,-5.28254737854002,-5.28254737854002,-5.28254737854002,-5.28254737854002
26,14256,31.218291,121.499411,-5.49372901916502,-5.49372901916502,-5.49372901916502,-5.49372901916502,-5.49372901916502,-5.49372901916502
27,14264,31.111557,121.582584,-6.17903175354002,-6.17903175354002,-6.17903175354002,-6.17903175354002,-6.17903175354002,-6.17903175354002
28,14267,31.17448,121.51989,-6.17903175354002,-6.17903175354002,-6.17903175354002,-6.17903175354002,-6.17903175354002,-6.17903175354002
29,14291,31.252698,121.3914998,-6.31135597229002,-6.31135597229002,-6.31135597229002,-6.31135597229002,-6.31135597229002,-6.31135597229002
30,14295,31.13306,121.43828,-6.26212094624833,-6.26212094624833,-6.26212094624833,-6.26212094624833,-6.26212094624833,-6.26212094624833
31,14295,31.13306,121.43828,-6.26212094624833,-6.26212094624833,-6.26212094624833,-6.26212094624833,-6.26212094624833,-6.26212094624833
